6662, 6564, 3647
6714, 3459
6506, 3453
6689, 3343
6450, 3433
6545, 3442
7332, 3580
7264, 3486
8350, 4316
7242, 3459
7353, 3524
7222, 3526
7260, 3440
7244, 3456
7066, 3459
7289, 3445
7337, 3449
7304, 3500
7200, 3503
7262, 3518
7533, 3430
7323, 3409
7358, 3699
7100, 3578
7426, 3469
7289, 3778
7094, 3431
7249, 3429
7416, 3609
7181, 3452
7239, 3428
7460, 3531
7108, 3483
7317, 3498
7426, 3481
7460, 3432
7321, 3438
176, 117
133, 111
153, 120
134, 102
135, 104
133, 102
139, 103
132, 105
135, 106
135, 104
138, 107
136, 104
131, 104
136, 105
147, 105
135, 105
135, 104
132, 102
135, 105
134, 104
131, 104
135, 105
134, 107
135, 106
134, 103
133, 104
136, 106
133, 106
133, 108
135, 105
132, 106
136, 105
131, 106
135, 113
143, 118
159, 115
136, 104
135, 104
140, 119
136, 108
137, 107
137, 106
132, 107
133, 105
133, 104
134, 105
130, 109
132, 111
131, 105
133, 103
221, 129
178, 134
180, 132
182, 128
181, 130
181, 130
175, 134
174, 130
179, 135
175, 130
179, 128
175, 131
182, 130
178, 130
172, 130
180, 128
183, 139
180, 132
181, 130
177, 128
179, 128
191, 156
174, 128
176, 130
175, 133
179, 132
173, 170
185, 131
180, 131
175, 128
176, 131
177, 130
176, 126
182, 130
179, 131
179, 128
171, 130
177, 132
178, 130
175, 127
177, 133
175, 137
174, 130
181, 130
173, 131
177, 129
173, 134
177, 129
179, 132
176, 138
335, 180
330, 186
283, 182
310, 183
285, 180
282, 176
287, 180
277, 179
283, 183
279, 185
277, 180
282, 181
285, 181
276, 182
280, 192
286, 187
283, 182
273, 181
280, 183
284, 181
281, 180
281, 187
280, 181
281, 178
301, 190
320, 184
278, 181
281, 180
283, 196
290, 183
276, 181
282, 180
278, 179
282, 190
282, 184
277, 187
281, 183
282, 189
300, 186
278, 185
276, 181
279, 180
283, 191
275, 185
345, 207
312, 205
300, 185
289, 191
296, 195
285, 179
550, 290
476, 283
478, 301
472, 275
