431, 7789, 2127, 487
389, 7956, 2156, 473
395, 7755, 2208, 526
389, 7853, 2178, 531
468, 7983, 2021, 475
402, 7974, 2221, 507
392, 7788, 2161, 499
390, 7645, 2060, 469
391, 8001, 2253, 508
388, 7997, 2037, 494
386, 7735, 2231, 588
381, 7745, 2188, 502
388, 8032, 2030, 486
388, 8021, 2152, 501
395, 7889, 2246, 491
386, 7691, 2126, 482
421, 8019, 2064, 497
386, 8042, 2181, 491
390, 7875, 2353, 517
391, 8474, 2071, 552
488, 10117, 2243, 484
384, 8139, 2073, 494
402, 7959, 2132, 485
390, 7918, 2263, 485
386, 8185, 2091, 573
402, 8014, 2219, 479
387, 8130, 2207, 477
417, 8062, 2037, 475
511, 7816, 2345, 472
390, 7844, 2179, 481
389, 8001, 2111, 484
403, 7879, 2086, 486
388, 7773, 2360, 476
390, 7751, 2220, 467
389, 7959, 2060, 477
388, 8238, 2233, 478
394, 7930, 2063, 479
391, 7781, 2022, 503
394, 7804, 2225, 476
397, 8019, 2079, 480
390, 7963, 2123, 480
396, 7821, 2303, 561
404, 7765, 2102, 481
388, 8047, 2078, 478
398, 8006, 2233, 474
389, 7763, 2096, 484
398, 8161, 2111, 524
557, 8079, 2222, 474
390, 8003, 2144, 489
388, 8077, 2126, 541
