111, 286, 92, 111
97, 286, 94, 107
96, 287, 88, 121
95, 285, 89, 105
95, 284, 89, 109
97, 281, 93, 113
96, 283, 88, 108
96, 285, 90, 109
99, 283, 92, 115
96, 282, 90, 113
104, 280, 88, 108
94, 286, 100, 115
103, 279, 91, 108
94, 283, 92, 108
97, 279, 90, 114
94, 279, 91, 105
96, 278, 88, 108
97, 278, 97, 116
96, 277, 91, 106
95, 280, 88, 106
98, 276, 90, 114
94, 295, 91, 111
111, 288, 90, 107
96, 283, 97, 119
96, 283, 87, 106
95, 285, 88, 106
99, 283, 92, 116
94, 281, 88, 110
98, 276, 90, 104
94, 282, 87, 115
98, 282, 90, 106
96, 280, 86, 108
98, 279, 98, 112
95, 280, 89, 106
96, 281, 88, 117
112, 305, 92, 117
95, 279, 89, 105
97, 278, 90, 108
95, 284, 88, 116
96, 276, 90, 108
98, 278, 89, 106
96, 280, 99, 114
96, 282, 87, 107
97, 275, 93, 107
95, 278, 95, 115
95, 277, 88, 106
96, 280, 89, 106
96, 278, 91, 115
95, 277, 88, 108
98, 287, 93, 108
