838, 2326, 732, 930
746, 2589, 742, 955
753, 2434, 820, 984
752, 2472, 803, 973
749, 2605, 752, 968
855, 2484, 765, 932
834, 2582, 852, 954
754, 2399, 817, 986
755, 2459, 831, 964
748, 2460, 772, 974
757, 2518, 754, 966
785, 2541, 755, 935
752, 2456, 750, 935
752, 2465, 761, 958
752, 2416, 816, 963
750, 2419, 813, 961
753, 2434, 752, 949
751, 2531, 727, 929
757, 2505, 760, 977
755, 2499, 826, 963
760, 2482, 779, 1020
756, 2519, 769, 959
797, 2436, 782, 961
751, 2405, 782, 935
759, 2547, 884, 948
757, 2431, 828, 994
1031, 2562, 733, 960
753, 2448, 813, 1012
838, 2482, 751, 931
758, 2524, 772, 930
772, 2507, 759, 962
777, 2434, 835, 966
824, 2487, 776, 972
765, 2729, 822, 1154
773, 2506, 719, 919
747, 2461, 753, 929
750, 2376, 811, 978
754, 2436, 817, 961
754, 2478, 780, 948
752, 2470, 754, 925
762, 2358, 796, 922
749, 2409, 802, 925
783, 2427, 832, 954
749, 2420, 781, 956
794, 2431, 758, 1053
748, 2359, 744, 924
818, 2383, 771, 918
748, 2359, 796, 919
802, 2497, 791, 956
749, 2535, 775, 954
